frame,time_s,s_px,ds_px,ds_mm,area_px,detected,valid
213,3.542623,854.765,-0.438,-0.0719,5372.5,True,True
214,3.559255,854.744,-0.459,-0.0754,5333.0,True,True
215,3.575887,854.903,-0.299,-0.0491,5364.5,True,True
216,3.592519,854.913,-0.289,-0.0475,5382.0,True,True
217,3.609151,854.954,-0.249,-0.0409,5391.0,True,True
218,3.625783,855.164,-0.038,-0.0063,5357.5,True,True
219,3.642415,855.425,0.223,0.0366,5394.0,True,True
220,3.659047,855.055,-0.147,-0.0242,5404.5,True,True
221,3.675679,855.045,-0.157,-0.0258,5423.0,True,True
222,3.692311,854.725,-0.477,-0.0784,5381.5,True,True
223,3.708943,854.915,-0.287,-0.0472,5397.5,True,True
224,3.725575,855.015,-0.188,-0.0309,5388.0,True,True
225,3.742207,854.934,-0.268,-0.0441,5384.5,True,True
226,3.758839,855.194,-0.009,-0.0014,5376.5,True,True
227,3.775471,855.253,0.050,0.0083,5371.5,True,True
228,3.792103,855.323,0.121,0.0198,5390.0,True,True
229,3.808735,855.273,0.071,0.0116,5402.0,True,True
230,3.825367,855.184,-0.019,-0.0031,5393.5,True,True
231,3.841999,854.985,-0.218,-0.0358,5464.5,True,True
232,3.858631,854.925,-0.277,-0.0455,5436.0,True,True
233,3.875263,855.115,-0.087,-0.0144,5424.0,True,True
234,3.891895,855.085,-0.118,-0.0194,5412.5,True,True
235,3.908527,855.335,0.133,0.0218,5418.5,True,True
236,3.925159,855.325,0.122,0.0201,5418.0,True,True
237,3.941791,855.174,-0.028,-0.0046,5398.0,True,True
238,3.958423,855.344,0.142,0.0233,5394.5,True,True
239,3.975055,857.644,2.442,0.4012,5389.5,True,True
240,3.991687,860.644,5.442,0.8941,5388.5,True,True
241,4.008319,863.475,8.272,1.3591,5428.5,True,True
242,4.024951,865.995,10.793,1.7732,5392.0,True,True
243,4.041584,867.905,12.702,2.0870,5395.0,True,True
244,4.058216,869.546,14.343,2.3566,5418.0,True,True
245,4.074848,871.255,16.053,2.6374,5382.5,True,True
246,4.091480,872.405,17.203,2.8264,5352.0,True,True
247,4.108112,873.355,18.153,2.9825,5391.5,True,True
248,4.124744,874.766,19.563,3.2142,5380.5,True,True
249,4.141376,876.357,21.154,3.4756,5372.5,True,True
250,4.158008,877.927,22.724,3.7336,5386.0,True,True
251,4.174640,880.586,25.384,4.1706,5368.5,True,True
252,4.191272,882.816,27.613,4.5369,5367.5,True,True
253,4.207904,885.234,30.031,4.9342,5363.0,True,True
254,4.224536,887.004,31.801,5.2250,5347.5,True,True
255,4.241168,889.524,34.322,5.6391,5357.5,True,True
256,4.257800,891.545,36.342,5.9711,5349.0,True,True
257,4.274432,893.195,37.992,6.2422,5326.5,True,True
258,4.291064,895.815,40.613,6.6727,5331.5,True,True
259,4.307696,898.185,42.983,7.0621,5333.5,True,True
260,4.324328,900.595,45.393,7.4581,5359.5,True,True
261,4.340960,902.376,47.173,7.7506,5378.5,True,True
262,4.357592,903.375,48.173,7.9148,5399.5,True,True
263,4.374224,905.236,50.033,8.2205,5422.0,True,True
264,4.390856,906.635,51.433,8.4505,5370.0,True,True
265,4.407488,908.415,53.213,8.7429,5356.0,True,True
266,4.424120,910.505,55.303,9.0863,5360.5,True,True
267,4.440752,912.616,57.413,9.4331,5395.5,True,True
268,4.457384,915.555,60.352,9.9159,5415.0,True,True
269,4.474016,919.184,63.981,10.5122,5396.5,True,True
270,4.490648,922.095,66.893,10.9905,5441.0,True,True
271,4.507280,924.684,69.482,11.4159,5375.5,True,True
272,4.523912,926.845,71.642,11.7708,5424.0,True,True
273,4.540544,928.885,73.683,12.1061,5409.5,True,True
274,4.557176,930.386,75.183,12.3527,5403.5,True,True
275,4.573809,931.736,76.534,12.5745,5403.0,True,True
276,4.590441,933.847,78.644,12.9213,5393.0,True,True
277,4.607073,936.026,80.824,13.2794,5410.0,True,True
278,4.623705,936.966,81.763,13.4337,5428.5,True,True
279,4.640337,938.804,83.602,13.7358,5447.5,True,True
280,4.656969,941.855,86.653,14.2371,5391.5,True,True
281,4.673601,944.545,89.342,14.6790,5421.0,True,True
282,4.690233,946.684,91.482,15.0306,5414.0,True,True
283,4.706865,949.074,93.872,15.4232,5416.0,True,True
284,4.723497,950.234,95.031,15.6137,5408.5,True,True
285,4.740129,952.594,97.392,16.0016,5393.5,True,True
286,4.756761,954.235,99.032,16.2711,5382.5,True,True
287,4.773393,956.256,101.053,16.6031,5446.5,True,True
288,4.790025,957.136,101.934,16.7478,5440.5,True,True
289,4.806657,958.576,103.373,16.9843,5426.0,True,True
290,4.823289,960.645,105.443,17.3243,5423.5,True,True
291,4.839921,962.976,107.773,17.7072,5442.5,True,True
292,4.856553,965.816,110.614,18.1739,5462.5,True,True
293,4.873185,968.496,113.293,18.6142,5446.5,True,True
294,4.889817,970.426,115.224,18.9314,5439.5,True,True
295,4.906449,972.535,117.333,19.2779,5433.0,True,True
296,4.923081,973.594,118.392,19.4519,5390.0,True,True
297,4.939713,975.304,120.101,19.7327,5421.0,True,True
298,4.956345,977.194,121.991,20.0433,5459.5,True,True
299,4.972977,980.694,125.492,20.6184,5404.0,True,True
300,4.989609,984.246,129.043,21.2019,5414.5,True,True
301,5.006241,988.616,133.413,21.9199,5440.5,True,True
302,5.022873,992.346,137.143,22.5327,5406.0,True,True
303,5.039505,996.786,141.583,23.2623,5424.5,True,True
304,5.056137,999.486,144.283,23.7059,5455.5,True,True
305,5.072769,1002.426,147.224,24.1890,5373.5,True,True
306,5.089401,1005.556,150.353,24.7032,5414.0,True,True
307,5.106034,1007.465,152.263,25.0169,5416.5,True,True
308,5.122666,1010.364,155.162,25.4932,5363.0,True,True
309,5.139298,1013.644,158.441,26.0320,5399.0,True,True
310,5.155930,1016.524,161.322,26.5053,5408.0,True,True
311,5.172562,1019.004,163.802,26.9127,5424.0,True,True
312,5.189194,1020.455,165.252,27.1511,5410.5,True,True
313,5.205826,1020.546,165.343,27.1660,5418.0,True,True
314,5.222458,1020.515,165.313,27.1610,5400.0,True,True
315,5.239090,1021.386,166.183,27.3040,5448.0,True,True
316,5.255722,1023.366,168.163,27.6294,5458.5,True,True
317,5.272354,1025.496,170.293,27.9793,5441.0,True,True
318,5.288986,1027.315,172.113,28.2783,5425.0,True,True
319,5.305618,1029.435,174.233,28.6266,5405.5,True,True
320,5.322250,1031.755,176.553,29.0078,5435.5,True,True
321,5.338882,1032.295,177.093,29.0965,5392.5,True,True
322,5.355514,1032.285,177.082,29.0948,5369.5,True,True
323,5.372146,1032.175,176.972,29.0767,5407.5,True,True
324,5.388778,1032.125,176.922,29.0685,5392.0,True,True
325,5.405410,1032.145,176.942,29.0718,5416.5,True,True
326,5.422042,1032.054,176.852,29.0569,5397.0,True,True
327,5.438674,1032.384,177.182,29.1111,5386.0,True,True
328,5.455306,1032.534,177.332,29.1357,5389.0,True,True
329,5.471938,1032.884,177.682,29.1933,5416.0,True,True
330,5.488570,1035.335,180.133,29.5959,5453.0,True,True
331,5.505202,1036.876,181.673,29.8490,5440.0,True,True
332,5.521834,1038.036,182.834,30.0397,5433.5,True,True
333,5.538466,1038.346,183.143,30.0906,5396.5,True,True
334,5.555098,1038.185,182.983,30.0642,5380.5,True,True
335,5.571730,1038.095,182.892,30.0494,5378.0,True,True
336,5.588362,1038.385,183.182,30.0970,5375.0,True,True
337,5.604994,1038.514,183.312,30.1182,5401.5,True,True
338,5.621626,1038.834,183.631,30.1708,5417.5,True,True
339,5.638258,1038.974,183.771,30.1938,5423.0,True,True
340,5.654891,1038.684,183.481,30.1461,5399.0,True,True
341,5.671523,1038.615,183.413,30.1349,5395.0,True,True
342,5.688155,1038.526,183.323,30.1202,5416.0,True,True
343,5.704787,1038.617,183.414,30.1351,5420.5,True,True
344,5.721419,1038.617,183.414,30.1351,5416.5,True,True
345,5.738051,1038.636,183.434,30.1383,5404.0,True,True
346,5.754683,1038.666,183.463,30.1432,5417.5,True,True
347,5.771315,1038.855,183.653,30.1743,5408.5,True,True
348,5.787947,1038.804,183.602,30.1659,5386.0,True,True
349,5.804579,1038.844,183.641,30.1724,5384.0,True,True
350,5.821211,1038.745,183.542,30.1561,5369.0,True,True
351,5.837843,1038.655,183.452,30.1413,5382.5,True,True
352,5.854475,1043.445,188.243,30.9284,5443.5,True,True
353,5.871107,1049.415,194.212,31.9092,5443.5,True,True
354,5.887739,1055.177,199.974,32.8559,5394.5,True,True
355,5.904371,1056.078,200.875,33.0039,5346.5,True,True
356,5.921003,1056.178,200.975,33.0204,5361.0,True,True
357,5.937635,1056.268,201.065,33.0352,5352.5,True,True
358,5.954267,1056.278,201.075,33.0368,5317.5,True,True
359,5.970899,1056.188,200.985,33.0220,5322.0,True,True
360,5.987531,1055.958,200.755,32.9842,5367.0,True,True
361,6.004163,1055.947,200.745,32.9825,5339.5,True,True
362,6.020795,1056.007,200.804,32.9923,5322.5,True,True
363,6.037427,1056.096,200.894,33.0070,5338.5,True,True
364,6.054059,1056.027,200.824,32.9956,5330.0,True,True
365,6.070691,1056.037,200.835,32.9973,5333.0,True,True
366,6.087323,1056.186,200.984,33.0218,5299.0,True,True
367,6.103955,1056.088,200.885,33.0056,5344.5,True,True
368,6.120587,1056.048,200.846,32.9991,5359.0,True,True
369,6.137219,1056.178,200.975,33.0204,5370.0,True,True
370,6.153851,1055.988,200.786,32.9893,5354.5,True,True
371,6.170483,1055.968,200.766,32.9859,5332.5,True,True
372,6.187116,1055.978,200.776,32.9876,5325.0,True,True
373,6.203748,1056.029,200.826,32.9959,5347.5,True,True
374,6.220380,1056.088,200.886,33.0056,5353.5,True,True
375,6.237012,1056.138,200.935,33.0138,5336.0,True,True
