frame,time_s,s_px,ds_px,ds_mm,area_px,detected,valid
460,7.650723,,,,211524.0,True,False
461,7.667355,,,,209660.0,True,False
462,7.683987,,,,209380.5,True,False
463,7.700619,,,,209809.5,True,False
464,7.717251,,,,207814.0,True,False
465,7.733883,,,,208885.0,True,False
466,7.750515,,,,208295.5,True,False
467,7.767147,,,,208213.5,True,False
468,7.783780,,,,208009.0,True,False
469,7.800412,,,,209396.0,True,False
470,7.817044,,,,209167.0,True,False
471,7.833676,,,,207762.0,True,False
472,7.850308,,,,208224.0,True,False
473,7.866940,,,,208447.0,True,False
474,7.883572,,,,208488.0,True,False
475,7.900204,,,,209266.5,True,False
476,7.916836,,,,208867.5,True,False
477,7.933468,,,,209466.0,True,False
478,7.950100,,,,209595.5,True,False
479,7.966732,,,,209787.0,True,False
480,7.983364,,,,221752.0,True,False
481,7.999996,,,,215483.0,True,False
482,8.016628,,,,215732.0,True,False
483,8.033260,,,,213786.5,True,False
484,8.049892,,,,212286.5,True,False
485,8.066524,,,,211403.0,True,False
486,8.083156,,,,213450.5,True,False
487,8.099788,,,,213527.0,True,False
488,8.116420,,,,212399.0,True,False
489,8.133052,,,,212327.5,True,False
490,8.149684,,,,209781.5,True,False
491,8.166316,,,,209908.5,True,False
492,8.182948,,,,208817.5,True,False
493,8.199580,,,,208732.5,True,False
494,8.216212,,,,210695.5,True,False
495,8.232844,,,,210136.0,True,False
496,8.249476,,,,208295.5,True,False
497,8.266108,,,,209097.5,True,False
498,8.282740,,,,209971.5,True,False
499,8.299372,,,,210168.0,True,False
500,8.316004,,,,210733.0,True,False
501,8.332636,,,,207921.0,True,False
502,8.349268,,,,208174.0,True,False
503,8.365900,,,,207949.0,True,False
504,8.382532,,,,208787.5,True,False
505,8.399164,,,,207763.5,True,False
506,8.415796,,,,207315.5,True,False
507,8.432428,,,,206179.5,True,False
508,8.449060,,,,206171.0,True,False
509,8.465692,,,,206113.5,True,False
510,8.482324,,,,206788.0,True,False
511,8.498956,,,,207141.5,True,False
512,8.515588,,,,206771.0,True,False
513,8.532220,,,,208635.5,True,False
514,8.548852,,,,208722.0,True,False
515,8.565484,,,,207154.0,True,False
516,8.582116,,,,206730.5,True,False
517,8.598748,,,,204291.5,True,False
518,8.615380,,,,203265.5,True,False
519,8.632012,,,,203029.5,True,False
520,8.648644,,,,205444.5,True,False
521,8.665276,,,,210911.0,True,False
522,8.681908,,,,207052.5,True,False
523,8.698540,,,,206823.0,True,False
524,8.715172,,,,207690.0,True,False
525,8.731804,,,,204248.5,True,False
526,8.748436,,,,200761.0,True,False
527,8.765068,,,,199400.0,True,False
528,8.781700,,,,162851.5,True,False
529,8.798332,,,,165936.0,True,False
530,8.814964,,,,159428.5,True,False
531,8.831596,,,,152721.0,True,False
532,8.848228,,,,151335.0,True,False
